geneID	tf_family	selection_tissue	selection_module	reference_genome	reference_annotation	peak_count_chr1_chr10	bound_gene_count
Sobic.010G052600	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	93045	16954
Sobic.010G063900	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	99714	23050
Sobic.010G080400	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	38870	15098
Sobic.010G089700	ERF	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	88599	25537
Sobic.010G108500	CO-like	shoot	brown	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	133	70
Sobic.010G123500	CO-like	shoot	brown	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	771	325
Sobic.010G148800	WRKY	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	45961	12649
Sobic.010G201388	MYB	root	red	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	2493	817
Sobic.010G209100	WRKY	root	darkgrey	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	6829	1839
Sobic.010G209200	WRKY	root	darkgrey	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	12719	3338
Sobic.010G273700	NAC	shoot	purple	Sorghum bicolor v3.1.1	Sbicolor_454_v3.1.1.gene.gff3	77277	20486
